Date,Dividend
2022-07-01 00:00:00,0.043
2022-06-01 00:00:00,0.042
2022-05-02 00:00:00,0.038
2022-04-01 00:00:00,0.038
2022-03-01 00:00:00,0.035
2022-02-01 00:00:00,0.047
2021-12-23 00:00:00,1.618
2021-12-01 00:00:00,0.034
2021-11-01 00:00:00,0.039
2021-10-01 00:00:00,0.038
2021-09-01 00:00:00,0.04
2021-08-02 00:00:00,0.041
2021-07-01 00:00:00,0.042
2021-06-01 00:00:00,0.041
2021-05-03 00:00:00,0.039
2021-04-01 00:00:00,0.041
2021-03-01 00:00:00,0.045
2021-02-01 00:00:00,0.045
2020-12-23 00:00:00,0.136
2020-12-01 00:00:00,0.045
2020-11-02 00:00:00,0.047
2020-10-01 00:00:00,0.046
2020-09-01 00:00:00,0.047
2020-08-03 00:00:00,0.048
2020-07-01 00:00:00,0.047
2020-06-01 00:00:00,0.048
2020-05-01 00:00:00,0.047
2020-04-01 00:00:00,0.051
2020-03-02 00:00:00,0.044
2020-02-03 00:00:00,0.045
2019-12-23 00:00:00,1.352
2019-12-02 00:00:00,0.05
2019-11-01 00:00:00,0.052
2019-10-01 00:00:00,0.052
2019-09-03 00:00:00,0.053
2019-08-01 00:00:00,0.054
2019-07-01 00:00:00,0.055
2019-06-03 00:00:00,0.054
2019-05-01 00:00:00,0.051
2019-04-01 00:00:00,0.053
2019-03-01 00:00:00,0.046
2019-02-01 00:00:00,0.054
2018-12-24 00:00:00,1.094
2018-12-03 00:00:00,0.052
2018-11-01 00:00:00,0.054
2018-10-01 00:00:00,0.05
2018-09-04 00:00:00,0.051
2018-08-01 00:00:00,0.05
2018-07-02 00:00:00,0.048
2018-06-01 00:00:00,0.047
2018-05-01 00:00:00,0.043
2018-04-02 00:00:00,0.052
2018-03-01 00:00:00,0.043
2018-02-01 00:00:00,0.049
2017-12-26 00:00:00,0.691
2017-12-01 00:00:00,0.048
2017-11-01 00:00:00,0.048
2017-10-02 00:00:00,0.049
2017-09-01 00:00:00,0.049
2017-08-01 00:00:00,0.048
2017-07-03 00:00:00,0.049
2017-06-01 00:00:00,0.047
2017-05-01 00:00:00,0.046
2017-04-03 00:00:00,0.046
2017-03-01 00:00:00,0.046
2017-02-01 00:00:00,0.045
2016-12-22 00:00:00,0.404
2016-12-01 00:00:00,0.066
2016-11-01 00:00:00,0.061
2016-10-03 00:00:00,0.056
2016-09-01 00:00:00,0.056
2016-08-01 00:00:00,0.05
2016-07-01 00:00:00,0.056
2016-06-01 00:00:00,0.055
2016-05-02 00:00:00,0.056
2016-04-01 00:00:00,0.056
2016-03-01 00:00:00,0.055
2016-02-01 00:00:00,0.056
2015-12-23 00:00:00,0.135
2015-12-01 00:00:00,0.11
2015-11-02 00:00:00,0.081
2015-10-01 00:00:00,0.062
2015-09-01 00:00:00,0.057
2015-08-03 00:00:00,0.051
2015-07-01 00:00:00,0.062
2015-06-01 00:00:00,0.051
2015-05-01 00:00:00,0.061
2015-04-01 00:00:00,0.056
2015-03-02 00:00:00,0.062
2015-02-02 00:00:00,0.072
2014-12-23 00:00:00,0.093
2014-12-01 00:00:00,0.085
2014-11-03 00:00:00,0.074
2014-10-01 00:00:00,0.055
2014-09-02 00:00:00,0.064
2014-08-01 00:00:00,0.075
2014-07-01 00:00:00,0.059
