Date,Dividend
2022-06-09 00:00:00,0.373
2022-03-24 00:00:00,0.377
2021-12-13 00:00:00,0.445
2021-09-24 00:00:00,0.334
2021-06-10 00:00:00,0.126
2021-03-25 00:00:00,0.092
2020-12-14 00:00:00,0.31
2020-09-23 00:00:00,0.239
2020-06-15 00:00:00,0.346
2020-03-25 00:00:00,0.445
2019-12-16 00:00:00,0.505
2019-09-24 00:00:00,0.425
2019-06-17 00:00:00,0.453
2019-03-20 00:00:00,0.472
2018-12-17 00:00:00,0.396
2018-09-26 00:00:00,0.265
2018-06-26 00:00:00,0.34
2018-03-22 00:00:00,0.274
2017-12-21 00:00:00,0.308
2017-09-26 00:00:00,0.266
2017-06-27 00:00:00,0.238
2017-03-24 00:00:00,0.235
2016-12-22 00:00:00,0.39
2016-09-26 00:00:00,0.292
2016-06-21 00:00:00,0.212
2016-03-23 00:00:00,0.191
2015-12-24 00:00:00,0.202
2015-09-25 00:00:00,0.177
2015-06-24 00:00:00,0.227
2015-03-25 00:00:00,0.213
2014-12-24 00:00:00,0.237
2014-09-24 00:00:00,0.174
