Date,Dividend
2022-07-01 00:00:00,0.188
2022-06-01 00:00:00,0.192
2022-05-02 00:00:00,0.186
2022-04-01 00:00:00,0.181
2022-03-01 00:00:00,0.159
2022-02-01 00:00:00,0.176
2021-12-23 00:00:00,0.769
2021-12-01 00:00:00,0.167
2021-11-01 00:00:00,0.173
2021-10-01 00:00:00,0.173
2021-09-01 00:00:00,0.175
2021-08-02 00:00:00,0.179
2021-07-01 00:00:00,0.17
2021-06-01 00:00:00,0.175
2021-05-03 00:00:00,0.166
2021-04-01 00:00:00,0.177
2021-03-01 00:00:00,0.163
2021-02-01 00:00:00,0.18
2020-12-23 00:00:00,0.388
2020-12-01 00:00:00,0.179
2020-11-02 00:00:00,0.201
2020-10-01 00:00:00,0.195
2020-09-01 00:00:00,0.197
2020-08-03 00:00:00,0.208
2020-07-01 00:00:00,0.193
2020-06-01 00:00:00,0.227
2020-05-01 00:00:00,0.218
2020-04-01 00:00:00,0.255
2020-03-02 00:00:00,0.21
2020-02-03 00:00:00,0.233
2019-12-23 00:00:00,0.255
2019-12-02 00:00:00,0.242
2019-11-01 00:00:00,0.258
2019-10-01 00:00:00,0.246
2019-09-03 00:00:00,0.261
2019-08-01 00:00:00,0.274
2019-07-01 00:00:00,0.261
2019-06-03 00:00:00,0.271
2019-05-01 00:00:00,0.252
2019-04-01 00:00:00,0.284
2019-03-01 00:00:00,0.232
2019-02-01 00:00:00,0.239
2018-12-24 00:00:00,0.275
2018-12-03 00:00:00,0.251
2018-11-01 00:00:00,0.265
2018-10-01 00:00:00,0.248
2018-09-04 00:00:00,0.248
2018-08-01 00:00:00,0.257
2018-07-02 00:00:00,0.24
2018-06-01 00:00:00,0.255
2018-05-01 00:00:00,0.237
2018-04-02 00:00:00,0.27
2018-03-01 00:00:00,0.217
2018-02-01 00:00:00,0.226
2017-12-26 00:00:00,0.254
2017-12-01 00:00:00,0.238
2017-11-01 00:00:00,0.237
2017-10-02 00:00:00,0.237
2017-09-01 00:00:00,0.235
2017-08-01 00:00:00,0.234
2017-07-03 00:00:00,0.234
2017-06-01 00:00:00,0.236
2017-05-01 00:00:00,0.241
2017-04-03 00:00:00,0.23
2017-03-01 00:00:00,0.234
2017-02-01 00:00:00,0.199
2016-12-22 00:00:00,0.26
2016-12-01 00:00:00,0.233
2016-11-01 00:00:00,0.234
2016-10-03 00:00:00,0.233
2016-09-01 00:00:00,0.237
2016-08-01 00:00:00,0.236
2016-07-01 00:00:00,0.239
2016-06-01 00:00:00,0.237
2016-05-02 00:00:00,0.234
2016-04-01 00:00:00,0.223
2016-03-01 00:00:00,0.242
2016-02-01 00:00:00,0.209
2015-12-23 00:00:00,0.27
2015-12-01 00:00:00,0.236
2015-10-01 00:00:00,0.237
2015-09-01 00:00:00,0.24
2015-08-03 00:00:00,0.229
2015-07-01 00:00:00,0.232
2015-06-01 00:00:00,0.236
2015-05-01 00:00:00,0.226
2015-04-01 00:00:00,0.232
2015-03-02 00:00:00,0.229
2015-02-02 00:00:00,0.214
2014-12-23 00:00:00,0.368
2014-12-01 00:00:00,0.234
2014-11-03 00:00:00,0.226
2014-10-01 00:00:00,0.231
2014-09-02 00:00:00,0.227
2014-08-01 00:00:00,0.229
2014-07-01 00:00:00,0.228
