Date,Dividend
2022-06-21 00:00:00,0.578
2022-03-21 00:00:00,0.106
2021-12-20 00:00:00,0.845
2021-09-20 00:00:00,0.367
2021-06-21 00:00:00,0.507
2021-03-22 00:00:00,0.164
2020-12-21 00:00:00,0.452
2020-09-21 00:00:00,0.342
2020-06-22 00:00:00,0.254
2020-03-23 00:00:00,0.118
2019-12-23 00:00:00,0.581
2019-09-24 00:00:00,0.327
2019-06-17 00:00:00,0.579
2019-03-25 00:00:00,0.179
2018-12-24 00:00:00,0.446
2018-09-26 00:00:00,0.274
2018-06-22 00:00:00,0.613
2018-03-26 00:00:00,0.156
2017-12-21 00:00:00,0.463
2017-09-20 00:00:00,0.298
2017-06-21 00:00:00,0.541
2017-03-22 00:00:00,0.153
2016-12-20 00:00:00,0.375
2016-09-13 00:00:00,0.255
2016-06-14 00:00:00,0.53
2016-03-15 00:00:00,0.148
2015-12-21 00:00:00,0.335
2015-09-25 00:00:00,0.228
2015-06-26 00:00:00,0.557
2015-03-25 00:00:00,0.162
2014-12-22 00:00:00,0.379
2014-09-24 00:00:00,0.268
