Date,Dividend
2022-07-01 00:00:00,0.144
2022-06-01 00:00:00,0.147
2022-05-02 00:00:00,0.135
2022-04-01 00:00:00,0.148
2022-03-01 00:00:00,0.125
2022-02-01 00:00:00,0.129
2021-12-23 00:00:00,0.137
2021-12-01 00:00:00,0.134
2021-11-01 00:00:00,0.136
2021-10-01 00:00:00,0.135
2021-09-01 00:00:00,0.142
2021-08-02 00:00:00,0.143
2021-07-01 00:00:00,0.132
2021-06-01 00:00:00,0.14
2021-05-03 00:00:00,0.133
2021-04-01 00:00:00,0.136
2021-03-01 00:00:00,0.123
2021-02-01 00:00:00,0.135
2020-12-23 00:00:00,0.426
2020-12-01 00:00:00,0.133
2020-11-02 00:00:00,0.136
2020-10-01 00:00:00,0.135
2020-09-01 00:00:00,0.144
2020-08-03 00:00:00,0.145
2020-07-01 00:00:00,0.146
2020-06-01 00:00:00,0.155
2020-05-01 00:00:00,0.155
2020-04-01 00:00:00,0.174
2020-03-02 00:00:00,0.146
2020-02-03 00:00:00,0.165
2019-12-23 00:00:00,0.174
2019-12-02 00:00:00,0.158
2019-11-01 00:00:00,0.169
2019-10-01 00:00:00,0.169
2019-09-03 00:00:00,0.172
2019-08-01 00:00:00,0.178
2019-07-01 00:00:00,0.168
2019-06-03 00:00:00,0.18
2019-05-01 00:00:00,0.17
2019-04-01 00:00:00,0.177
2019-03-01 00:00:00,0.163
2019-02-01 00:00:00,0.174
2018-12-24 00:00:00,0.186
2018-12-03 00:00:00,0.161
2018-11-01 00:00:00,0.17
2018-10-01 00:00:00,0.17
2018-09-04 00:00:00,0.175
2018-08-01 00:00:00,0.175
2018-07-02 00:00:00,0.172
2018-06-01 00:00:00,0.168
2018-05-01 00:00:00,0.168
2018-04-02 00:00:00,0.175
2018-03-01 00:00:00,0.148
2018-02-01 00:00:00,0.16
2017-12-26 00:00:00,0.186
2017-12-01 00:00:00,0.17
2017-11-01 00:00:00,0.15
2017-10-02 00:00:00,0.175
2017-09-01 00:00:00,0.165
2017-08-01 00:00:00,0.174
2017-07-03 00:00:00,0.16
2017-06-01 00:00:00,0.165
2017-05-01 00:00:00,0.169
2017-04-03 00:00:00,0.155
2017-03-01 00:00:00,0.169
2017-02-01 00:00:00,0.149
2016-12-22 00:00:00,0.189
2016-12-01 00:00:00,0.161
2016-11-01 00:00:00,0.16
2016-10-03 00:00:00,0.166
2016-09-01 00:00:00,0.164
2016-08-01 00:00:00,0.166
2016-07-01 00:00:00,0.171
2016-06-01 00:00:00,0.161
2016-05-02 00:00:00,0.174
2016-04-01 00:00:00,0.162
2016-03-01 00:00:00,0.161
2016-02-01 00:00:00,0.144
2015-12-23 00:00:00,0.201
2015-12-01 00:00:00,0.173
2015-10-01 00:00:00,0.177
2015-09-01 00:00:00,0.165
2015-08-03 00:00:00,0.171
2015-07-01 00:00:00,0.179
2015-06-01 00:00:00,0.168
2015-05-01 00:00:00,0.178
2015-04-01 00:00:00,0.162
2015-03-25 00:00:00,0.314
2015-03-02 00:00:00,0.172
2015-02-02 00:00:00,0.166
2014-12-23 00:00:00,0.181
2014-12-01 00:00:00,0.172
2014-11-03 00:00:00,0.179
2014-10-01 00:00:00,0.174
2014-09-02 00:00:00,0.178
2014-08-01 00:00:00,0.177
2014-07-01 00:00:00,0.178
