Date,Dividend
2022-06-23 00:00:00,0.57
2022-03-23 00:00:00,0.577
2021-12-27 00:00:00,1.053
2021-09-24 00:00:00,0.657
2021-06-24 00:00:00,0.729
2021-03-25 00:00:00,0.526
2020-12-24 00:00:00,1.338
2020-09-25 00:00:00,0.59
2020-06-25 00:00:00,0.759
2020-03-10 00:00:00,0.648
2019-12-18 00:00:00,0.957
2019-09-24 00:00:00,0.744
2019-06-27 00:00:00,0.827
2019-03-28 00:00:00,0.616
2018-12-13 00:00:00,0.949
2018-09-24 00:00:00,1.144
2018-06-18 00:00:00,0.732
2018-03-26 00:00:00,0.706
2017-12-21 00:00:00,1.264
2017-09-22 00:00:00,0.854
2017-06-23 00:00:00,0.801
2017-03-22 00:00:00,0.595
2016-12-22 00:00:00,1.695
2016-09-13 00:00:00,0.598
2016-06-21 00:00:00,0.764
2016-03-21 00:00:00,0.919
2015-12-23 00:00:00,1.098
2015-09-23 00:00:00,0.752
2015-06-26 00:00:00,0.762
2015-03-25 00:00:00,0.512
2014-12-22 00:00:00,1.103
2014-09-24 00:00:00,0.668
