Date,Dividend
2022-06-23 00:00:00,0.835
2022-03-23 00:00:00,0.792
2021-12-27 00:00:00,0.903
2021-09-24 00:00:00,0.806
2021-06-24 00:00:00,0.742
2021-03-25 00:00:00,0.706
2020-12-24 00:00:00,0.789
2020-09-25 00:00:00,0.716
2020-06-25 00:00:00,0.774
2020-03-26 00:00:00,0.761
2019-12-24 00:00:00,0.909
2019-09-16 00:00:00,0.658
2019-06-27 00:00:00,0.699
2019-03-28 00:00:00,0.735
2018-12-24 00:00:00,0.708
2018-09-28 00:00:00,0.731
2018-06-22 00:00:00,0.628
2018-03-22 00:00:00,0.603
2017-12-21 00:00:00,0.647
2017-09-22 00:00:00,0.675
2017-06-23 00:00:00,0.557
2017-03-24 00:00:00,0.558
2016-12-22 00:00:00,0.695
2016-09-13 00:00:00,0.558
2016-06-14 00:00:00,0.484
2016-03-21 00:00:00,0.536
2015-12-21 00:00:00,0.588
2015-09-21 00:00:00,0.525
2015-06-22 00:00:00,0.51
2015-03-25 00:00:00,0.5
2014-12-22 00:00:00,0.513
2014-09-24 00:00:00,0.476
