Date,Dividend
2022-06-21 00:00:00,0.306
2022-03-21 00:00:00,0.134
2021-12-20 00:00:00,0.478
2021-09-20 00:00:00,0.473
2021-06-21 00:00:00,0.28
2021-03-22 00:00:00,0.068
2020-12-21 00:00:00,0.301
2020-09-21 00:00:00,0.426
2020-06-22 00:00:00,0.17
2020-03-23 00:00:00,0.058
2019-12-23 00:00:00,0.559
2019-09-24 00:00:00,0.519
2019-06-17 00:00:00,0.279
2019-03-25 00:00:00,0.082
2018-12-24 00:00:00,0.259
2018-09-26 00:00:00,0.475
2018-06-22 00:00:00,0.275
2018-03-26 00:00:00,0.089
2017-12-21 00:00:00,0.212
2017-09-20 00:00:00,0.522
2017-06-21 00:00:00,0.253
2017-03-22 00:00:00,0.071
2016-12-20 00:00:00,0.17
2016-09-13 00:00:00,0.45
2016-06-14 00:00:00,0.223
2016-03-15 00:00:00,0.057
2015-12-21 00:00:00,0.159
2015-09-25 00:00:00,0.45
2015-06-26 00:00:00,0.386
2015-03-25 00:00:00,0.071
2014-12-22 00:00:00,0.174
2014-09-24 00:00:00,0.446
